127,278,9,,1575,1,2,30,3,20,525481,9,1,1298,101,1,17.75,1,,
128,278,19,,1575,1,2,30,3,17,525481,19,3,1704,101,1,50,1,,
129,38,11,,1575,1,2,30,3,17,525481,11,3,1801,101,0,0,0,,
130,278,18,,1575,1,2,30,3,23,525481,18,2,2010,101,1,19.95,1,,
131,38,9,,1575,1,2,30,3,20,525481,9,1,2044,101,0,0,0,,
132,180,17,,64,1,4,30,3,1,470267,17,1,1851,102,1,100,1,,
133,180,5,,944,1,5,30,1,2,394265,5,1,2043,103,1,120,1,,
134,38,11,,944,1,5,30,1,2,394265,11,3,2058,103,0,12.5,1,,
135,180,17,,437,1,4,30,3,1,473665,17,1,1711,104,1,100,1,,
136,38,2,,437,1,4,30,3,1,473665,2,3,1717,104,0,0,0,,
137,180,20,,64,1,1,30,2,3,453963,20,1,2125,105,1,200,1,,
144,180,10,,1100,1,1,30,3,3,486721,10,1,2161,107,1,200,1,,
145,180,1,,3337,1,1,30,3,1,485019,1,3,1146,108,1,100,1,,
146,38,17,,3337,1,1,30,3,1,485019,17,3,1414,108,0,0,0,,
147,180,17,,926,1,1,30,3,1,485003,17,2,1405,109,1,100,1,,
148,78,24,,926,1,1,30,3,28,485003,20,3,1886,109,1,25,1,,
154,180,11,,67,1,5,30,1,3,394229,11,1,1903,112,1,200,1,,
155,180,17,,68,1,4,30,2,2,471860,17,1,2145,114,1,120,1,,
156,180,2,,548,1,3,30,3,2,433879,2,1,1898,116,1,120,1,,
157,180,19,,3851,1,1,30,3,1,483297,19,1,1551,119,1,100,1,,
158,278,18,,3851,1,1,30,3,12,483297,18,2,2137,119,1,7.9,1,,
159,180,16,,69,1,4,30,3,1,471969,16,1,1309,120,1,100,1,,
160,38,1,,69,1,4,30,3,1,471969,1,1,1422,120,0,0,0,,
161,180,19,,1162,1,3,30,2,1,402781,19,1,1301,121,1,100,1,,
162,38,1,,1162,1,3,30,2,1,402781,1,1,1451,121,0,0,0,,
163,180,10,,2488,1,1,30,1,2,488513,10,2,2052,122,1,120,1,,
164,180,7,,69,1,1,30,3,1,487303,7,2,1689,123,1,100,1,,
165,38,2,,70,1,1,30,3,1,487303,2,3,2038,123,0,12.5,1,,
166,180,5,,1225,1,3,30,3,1,402775,5,1,1435,125,1,100,1,,
167,278,20,,1225,1,3,30,3,11,402775,20,1,1504,125,1,3.5,1,,
168,38,10,,1225,1,3,30,3,11,402775,10,2,2000,125,0,0,0,,
169,278,20,,1225,1,3,30,3,15,402775,20,1,2104,125,1,6,1,,
170,38,17,,1225,1,3,30,3,1,402775,17,3,2177,125,0,12.5,1,,
171,180,19,,3472,1,3,30,3,2,428743,19,1,1196,126,1,120,1,,
172,38,16,,3472,1,3,30,3,2,428743,16,2,1236,126,0,0,0,,
178,180,17,,2912,1,1,30,3,1,483275,17,1,1797,134,1,100,1,,
179,180,4,,2172,1,5,30,1,1,501229,4,1,1602,136,1,100,1,,
180,278,16,,2172,1,5,30,1,20,501229,16,1,1679,136,1,17.75,1,,
182,180,7,,2751,1,4,30,2,1,472002,7,2,1547,141,1,100,1,,
183,180,5,,70,1,5,30,2,1,503119,5,2,1206,142,1,100,1,,
184,38,6,,72,1,5,30,2,1,503119,6,1,1208,142,0,0,0,,
